Name,Genre
Totally Spies! Totally Party,Misc
Max Payne 2: The Fall of Max Payne,Shooter
Magicka,Role-Playing
Schlag den Raa,Misc
Guild Wars: Nightfall,Role-Playing
MySims,Simulation
The Sims 2: Bon Voyage,Simulation
Star Wars The Clone Wars: Republic Heroes,Action
Age of Empires III: Gold Edition,Strategy
Bully: Scholarship Edition,Action
RollerCoaster Tycoon 2: Triple Thrill Pack,Strategy
Battlefield 2142,Shooter
Air Conflicts: Secret Wars,Simulation
Divinity II: Flames of Vengeance,Role-Playing
Lost Planet 2,Shooter
X3: Terran Conflict,Simulation
SWAT 4,Shooter
Battlefield 1942,Shooter
X-Men Origins: Wolverine - Uncaged Edition,Action
Magicka Collection,Adventure
Dungeon Siege II,Role-Playing
Captain Morgane and the Golden Turtle,Adventure
Battlestations: Pacific,Strategy
Blazing Angels: Squadrons of WWII,Simulation
GRID Autosport,Racing
Star Wars: Empire at War - Forces of Corruption,Strategy
Neverwinter Nights Diamond,Role-Playing
The Lord of the Rings: Conquest,Action
Viva Pinata,Simulation
NBA 2K17,Sports
Elven Legacy,Strategy
Neverwinter Nights 2,Role-Playing
IL-2 Sturmovik: Forgotten Battles,Simulation
Jurassic Park: Operation Genesis,Simulation
Mortal Kombat,Fighting
You Dont Know Jack,Misc
Warhammer Online: Age of Reckoning,Role-Playing
ParaWorld,Strategy
Tropico Reloaded,Strategy
The Settlers: Rise of an Empire,Strategy
Puppet Show 3: Lost Town,Puzzle
Stronghold 2 Deluxe,Strategy
Ghost Pirates of Vooju Island,Adventure
Drakensang: The Dark Eye,Role-Playing
Pharaoh,Strategy
Escape the Emerald Star,Puzzle
Demigod,Strategy
Europa Universalis III Complete,Strategy
Stronghold Crusader Extreme,Strategy
Fishdom 2 Deluxe,Puzzle
Cities XL 2011,Simulation
Star Trek Online,Role-Playing
SimCity Societies,Simulation
Empire Deluxe,Strategy
IGT Slots: Lucky Larrys Lobstermania,Simulation
Tom Clancys Rainbow Six: Vegas 2,Shooter
DiRT,Racing
Tropico 4: Modern Times,Strategy
Brothers in Arms: Hells Highway,Shooter
Ceville,Action
Falcon 4.0: Allied Force,Simulation
Voodoo Chronicles: First Sign,Adventure
Ice Age: Dawn of the Dinosaurs,Action
Bejeweled 2 Deluxe,Puzzle
GT Legends,Racing
Kung Fu Panda,Action
Street Fighter X Tekken,Fighting
Frontlines: Fuel of War,Shooter
Raven Squad: Operation Hidden Dagger,Shooter
Tom Clancys EndWar,Strategy
Guitar Hero III: Legends of Rock,Misc
Plants vs. Zombies: Garden Warfare,Shooter
Test Drive Unlimited,Racing
F1 Race Stars,Racing
RollerCoaster Tycoon World,Simulation
Greys Anatomy: The Video Game,Adventure
18 Wheels of Steel: Extreme Trucker,Racing
X3: Terran War Pack,Misc
Left 4 Dead,Shooter
Serious Sam HD: Gold Edition,Shooter
Unreal Anthology,Shooter
The Settlers IV,Strategy
Resident Evil Zero,Action
Mount & Blade,Role-Playing
Tale of a Hero,Adventure
Fuel,Racing
Dungeon Defenders,Role-Playing
Mata Hari: Betrayal is only a Kiss Away,Adventure
Cities in Motion Collection,Simulation
Indigo Prophecy,Adventure
Rugby League Team Manager 2015,Action
Overlord,Strategy
Spirits and Demons: 5 Game Pack,Misc
Quake 4,Shooter
FIFA Soccer 09,Sports
East India Company,Strategy
Command & Conquer: The First Decade,Strategy
The Lord of the Rings: The Battle for Middle-Earth II,Strategy
Max Payne,Shooter
The Sims: Complete Collection,Simulation
So Blonde,Adventure
Homeworld,Strategy
Order of War,Strategy
Sacred Gold,Role-Playing
Command & Conquer 3: Deluxe Edition,Strategy
Sacred 3,Role-Playing
Maximum Capacity: Hotel Giant,Strategy
Legend: Hand of God,Role-Playing
WRC 2: FIA World Rally Championship,Racing
Lara Croft and the Temple of Osiris,Action
SAW,Action
Spider-Man 3,Platform
Fallout Trilogy,Role-Playing
Spider-Man: Web of Shadows,Action
Demolition Company: Gold Edition,Simulation
Oil Rush,Strategy
The Lord of the Rings Online: Mines of Moria,Role-Playing
Stormrise,Strategy
Agatha Christie: The ABC Murders,Adventure
Painkiller,Shooter
Quantum Break,Action
War Leaders: Clash of Nations,Strategy
Airport Simulator,Simulation
Hellgate: London,Role-Playing
TOCA Race Driver 3,Racing
The Sims 2: Happy Holiday Stuff,Simulation
Littlest Pet Shop,Simulation
X-Plane 10 Global,Simulation
Rugby Union Team Manager 2017,Simulation
4 Play Collection - Dark Mysteries,Misc
Mount & Blade Collection,Role-Playing
Ridge Racer Unbounded,Racing
Mini Ninjas,Action
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",Shooter
Dark Tales: Edgar Allan Poes The Premature Burial,Puzzle
UFO: Trilogy,Strategy
Mount & Blade: Warband,Role-Playing
Worldwide Soccer Manager 2007,Sports
Crysis: Warhead,Shooter
The Sims 2: Family Fun Stuff,Simulation
Still Life 2,Adventure
Vietcong,Shooter
Trapped Dead,Strategy
Pillars of Eternity,Role-Playing
Starship Troopers,Shooter
7 Roses: A Darkness Rises,Misc
The Crew: Wild Run,Action
Heroes of the Pacific,Simulation
Tycoon City: New York,Strategy
NHL 09,Sports
Atlantic Quest,Puzzle
"Warhammer 40,000: Dawn of War: Soulstorm",Strategy
WorldShift,Strategy
Heavy Fire: Afghanistan,Shooter
Legendary,Shooter
Commandos 3: Destination Berlin,Strategy
James Bond 007: Blood Stone,Shooter
Uru: Ages Beyond Myst,Adventure
Revolution: 25th Anniversary Collection,Adventure
Blood Bowl: Legendary Edition,Sports
Bejeweled Blitz,Puzzle
Peggle Nights,Puzzle
Combat Flight Simulator 3: Battle for Europe,Simulation
Agatha Christie: Death on the Nile,Adventure
Tomb Raider: Legend,Action
Command & Conquer 3: Kanes Wrath,Strategy
Ride 2,Racing
Paranormal Pursuit: The Gifted One,Action
Dungeons - The Dark Lord,Strategy
Divinity: Original Sin,Role-Playing
Airline Tycoon,Simulation
Just Cause,Action
Unreal Tournament 2004,Shooter
Pirates of the Burning Sea,Role-Playing
The Longest Journey,Adventure
Lost: Via Domus,Action
The Haunted: Hells Reach,Shooter
Disciples III: Renaissance,Strategy
Elven Legacy Collection,Strategy
LEGO Star Wars: The Video Game,Action
Dark Void,Action
